RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
102001,0,United States,country,,1230.0151314111827,1236.7000141974572,1245.7541683221168,1255.592384929765,1265.2486882759604,1273.6271279195646,1279.7336134404654,1283.4330757726443,1285.1583399935362,1285.6723734928396,1285.9708654633864,1286.525030793612,1289.7003858075275,1294.883650062444,1301.4313010293133,1311.4321909646171,1321.06521271504,1330.2950598154266,1333.2952664745267,1334.5538063558795,1333.557317241732,1330.5029329818326,1327.8108852880096,1325.4401797067037,1332.112700783597,1340.6827814477272,1353.4616886024187,1362.155441563332,1371.4397425017874,1378.6170636370873,1383.4591178332348,1385.1390317927169,1385.5678100305763,1384.2320818029818,1384.2253145666043,1385.2687866454423,1390.297027909294,1398.0696192953044,1408.0670674732912,1418.162113036026,1426.7399497481053,1434.3876398087796,1439.8435775553025,1443.0713373607541,1442.721121609233,1442.0024755412217,1442.5995767389568,1444.8352637955895,1449.5245254319634,1456.183573390929,1466.4764749475128,1476.6895802476024,1486.5793430166552,1494.8570943272684,1500.9352148135608,1504.3391161241289,1504.5390193918022,1503.465008994791,1502.5973667407686,1503.7952578413754,1509.0408738502297,1517.4314476137008,1525.780575678424,1526.1645918581066,1524.8439140216376,1524.8137831308259,1529.7886386778216,1531.3330467421324,1529.3586606252604,1527.5141013765374,1528.3683401115745,1530.6925227697493,1536.6116144020568,1545.6368264383893,1561.0124573044227,1581.9099241493652,1609.0895073263932,1640.0700552318167,1672.2359647785604,1702.2759242155278,1726.7665603479024,1742.6336310521635,1753.5676158321378,1763.9286041145797,1775.8285060809005,1791.9646287918913,1808.8127532679343,1829.9758324047093,1852.2700090695535,1875.245238056975,1894.5453298203138,1905.8431443714628,1909.4667613372649,1906.1617700273673,1900.2082606955341,1896.9000383842197,1898.0852638792892,1903.9980363800728,1914.3409228958983,1926.0620122641428,1939.7413830655603,1950.77315184525,1961.9572427826645,1968.9299464217552,1972.0334471731492,1969.9106416332154,1965.063480690322,1961.5786109401126,1963.8980207994048,1971.3703003788307,1982.6770253965442
394913,1,"New York, NY",msa,NY,2296.6755636459798,2312.1416184588093,2329.9870512177636,2352.0998804841915,2367.899092723808,2385.4337136929403,2396.7156091344023,2406.559043826235,2409.647703698468,2406.407921863104,2397.5981606364758,2387.975376160206,2385.5789372617237,2389.078388001809,2397.1838883777255,2410.9864867910333,2428.228525268838,2446.1535542115794,2457.893365637351,2462.293466442761,2460.8583987434263,2452.6906488332247,2443.12500927235,2426.484157808276,2424.595042116798,2426.033390831105,2441.4190174090445,2453.401531631284,2471.8391688915485,2487.24218085364,2498.0806072061628,2500.04398464927,2498.168810306152,2484.7777464799888,2469.576849232752,2455.563024721462,2453.1893901362146,2460.7068837410616,2473.7784433677157,2494.0107320382863,2512.241657377169,2530.287962717186,2542.8073848589784,2551.709976333552,2552.043079390122,2542.448616264879,2531.1847505000046,2520.768913439649,2520.4967689412583,2529.375229615055,2544.1944284055753,2561.5582596176496,2582.2513541722014,2604.725034637909,2620.231058824314,2627.559155953188,2625.3374889355246,2620.9278489883063,2608.352165757844,2601.107777526105,2600.338088659467,2614.050229854417,2623.453407706493,2616.7898347309624,2599.5008902568993,2576.342616990889,2551.5942061417045,,,2408.7475233844875,2378.8688304092616,2364.496443953609,2360.3294367969597,2370.25878002187,2393.39637417004,2423.7601381211543,2469.129340903849,2524.724349352934,2588.4439695667443,2649.990286326647,2700.6966856784156,2733.453667647039,2756.0766957915284,2774.9066733142217,2800.245237092999,2834.283261080632,2874.0641691521496,2917.3282598159885,2970.060634109844,3026.3967784939778,3076.498028593963,3104.642748643242,3107.123218239679,3088.422680165848,3057.2610707456606,3035.7780749860426,3031.920637896999,3045.2918340233614,3070.057348112898,3103.766319832503,3142.0289196162516,3176.921517705948,3201.3588848051877,3210.8196630640373,3209.9192214416885,3193.448152992353,3170.689766839646,3152.3015018327073,3156.339042610099,3174.1980120255994,3205.572268578418
753899,2,"Los Angeles, CA",msa,CA,1843.2453027179447,1855.8829107704405,1871.1899701263214,1884.5758359292452,1899.0214932563804,1910.7330495755646,1924.3223651489513,1934.694779212812,1944.6065180497915,1950.1922043180587,1955.2143337153238,1961.4746042737845,1971.2156216636872,1983.2519660618996,1995.142744426742,2006.865314263042,2020.8268656856799,2033.9553092684282,2042.8046316724165,2047.4849974081883,2051.406883270231,2049.8466783757044,2049.0952601522777,2048.183765647553,2068.817654559672,2089.200268884574,2115.2892893310086,2128.2357035842515,2141.7561848632095,2151.3364539758772,2160.1857048821817,2166.2799208285264,2171.1459318131256,2172.451165182484,2176.855500422735,2181.527379673851,2192.461598834034,2203.9250815604273,2215.4954878560548,2226.3897041706873,2235.173953558583,2246.5872131583233,2256.241596290922,2265.5406893644254,2270.4958893442526,2274.7905785752037,2280.6583961687998,2286.072293389785,2291.8105962277614,2296.0854485262653,2307.9828785816176,2318.7937176224914,2330.7111566686976,2339.7136884263437,2348.093372972285,2354.458396099958,2358.1931218617424,2359.788010212382,2363.2202840568248,2366.6372583424877,2375.1144024754162,2379.4956772519154,2380.2402303591775,2367.1546866074427,2355.632415419038,2348.2007471835354,2349.8983590978733,2350.8874627757023,2351.917099580489,2354.0027166226314,2357.9444695229895,2358.5995422034853,2362.130406923951,2368.0528243853796,2380.893950770429,2395.3228501746325,2416.690029890668,2452.527969582002,2499.761092993355,2554.1578355591464,2594.620283759393,2623.652384871536,2639.2199795655747,2659.328309872093,2678.664441604332,2704.4882201699565,2729.657228498351,2759.471966537177,2788.5407830540603,2813.0036705001844,2834.7395367199333,2849.852344420694,2856.8343269679326,2852.188203919999,2842.809520193302,2836.0768490859487,2833.205182861673,2839.93659686752,2851.9567953779865,2867.210075470875,2877.1955454487725,2887.645831124067,2902.3666173153465,2915.1346792676377,2918.7745125564375,2914.996743945674,2902.4554187992003,2892.7086122359938,2895.9639296941477,2906.877788580136,2924.553381752241
394463,3,"Chicago, IL",msa,IL,1441.363015626524,1448.970715816925,1459.8333405116264,1469.7748755009784,1480.9196279784605,1489.6938364923883,1494.7051285344114,1496.6941660297482,1491.4187982310825,1484.3384069722522,1478.2862175465254,1478.7135876752045,1487.0748697803094,1495.8964312561434,1507.8106624955537,1516.1101837450242,1526.9634933149914,1536.7255478274055,1543.7321846976347,1547.4246990377749,1540.2388983828137,1526.370369086989,1509.219528842419,1498.2557936196927,1507.9445844804072,1524.9309065051075,1547.3943703355558,1558.990623966467,1570.7978476789194,1576.7542934200394,1578.597523713996,1573.4410703888225,1566.9050894702712,1556.130589968021,1549.42833232967,1547.6305192756374,1556.113847624809,1568.0907110490607,1581.029011783199,1592.596850424559,1602.653331380961,1611.6231934865675,1615.44687841089,1612.4261455867345,1601.9817634069404,1590.5874807503449,1584.533799453293,1585.9336539589463,1595.4184835527888,1606.0597898865587,1621.3643671156967,1634.5980963071377,1646.5363250244918,1653.9587014196911,1656.9791357122515,1657.1111314922132,1652.4128155697351,1645.1374096862514,1637.7906964224164,1632.96226604732,1642.3283054562664,1654.4534056419616,1669.245103241561,1670.0316225757306,1668.5669103966463,1665.2816321675818,1664.0154428468618,1658.0261466256525,1643.3348479841577,1623.4001885165376,1608.1126781138635,1599.763236100658,1599.1312105323314,1606.668601902117,1625.242497710548,1652.9669837569618,1681.1393582356955,1705.4077466117865,1724.4575205475064,1737.6171066846887,1744.786001083559,1745.0919068753692,1745.8338183252015,1752.9701269204422,1767.5927343753897,1786.0438348636999,1806.772549974469,1829.6681865299884,1854.3577974753246,1874.4046219790494,1892.3504011785901,1899.898271579787,1902.4536980543685,1899.6948629639528,1894.5269431544982,1895.0411029960335,1901.691214545821,1915.19642901284,1931.1718685389042,1948.0532942249063,1971.0572488488117,1991.7381235553582,2005.0485347308822,2012.4190658290158,2009.7762881882159,2002.0839812014685,1993.8725166042834,1997.331168870123,2008.975251476365,2023.9984887294956,2038.100922085903
394514,4,"Dallas, TX",msa,TX,1107.5084575229343,1113.0799302826351,1121.2258118988475,1132.072875058861,1142.0963974607607,1150.3858011095053,1157.5930498951536,1160.5700191982917,1161.659552805118,1161.4783729942444,1163.5774422079303,1166.327325223311,1168.1935557924846,1173.3255719342492,1182.4142695875319,1193.5983190131358,1202.2412239826522,1208.3574425274403,1212.2012678022313,1214.0970056481763,1212.9267164534713,1211.2882537748976,1211.3369741762763,1212.1089287286054,1220.5445717497694,1227.9675402082992,1241.347883943105,1249.4713540650907,1261.866763692771,1268.161252776816,1273.2397521286407,1274.6186369323095,1274.0133377654158,1272.188950772288,1273.3411205153718,1274.158191609649,1278.8769717998314,1285.4919781981705,1293.2798636318837,1300.8846849475844,1305.6903062765844,1313.8255642828494,1317.7993874195156,1319.9130038381707,1317.2484447254637,1319.3330707446157,1319.3876602961097,1321.464488069794,1323.595516150044,1329.141448847524,1340.5397480855333,1350.2187830337011,1358.994869946716,1365.5424714593355,1369.1905831743532,1371.8534288824223,1371.5070664769696,1371.3735749139487,1368.624377091801,1365.14170644215,1366.572046591126,1373.4132622999416,1381.8753893289681,1383.1705232370784,1381.7722088270825,1382.7900099660228,1387.1937179513507,1392.5379167491528,1395.7113831664456,1400.045238058173,1403.6797565982997,1407.8510709578477,1410.0544551704436,1415.214953652049,1425.0285905393546,1445.8672693350734,1474.6413036301226,1508.6112229518687,1543.4364521535383,1574.9569142456025,1599.4118323477114,1614.5956661493287,1626.6349340218148,1636.5151862150462,1648.3418208118287,1660.858023367886,1674.0224236939698,1694.7147172273317,1719.2117275472947,1749.5222174364255,1770.608760521071,1777.9343682093722,1773.540941639918,1761.591335088876,1751.2096832636896,1742.2084195240918,1740.5819148503276,1743.1993464306238,1751.9770580692125,1757.2947250110024,1766.0171081347173,1773.7303782457266,1783.1620650897357,1785.98496953247,1782.9366328224069,1776.259449448495,1769.703466970779,1760.6528520131487,1755.1437568938495,1751.5434791730452,1755.441551907007
394692,5,"Houston, TX",msa,TX,1232.4346095953188,1236.8728261094964,1244.0624601913619,1256.0650549235042,1265.9897807045138,1275.0834905480567,1277.3614611060502,1277.625027535187,1272.928462962267,1268.3735972816032,1264.784725392366,1263.2177881171683,1264.41440529403,1266.2196045481369,1271.9708011897267,1276.8506104671228,1280.480985627393,1280.2243071353073,1277.8755481540916,1272.9864835023293,1265.2968668745705,1254.1073723127088,1243.9952618004518,1238.4197516740608,1248.037942538818,1261.931796645127,1276.6735557411055,1280.8604140578216,1288.9094342373842,1290.9149823376615,1291.9581509491534,1287.033306612671,1294.2274508765051,1302.13074679412,1313.0974405021889,1319.3687757946889,1322.3997700065518,1328.1447953174031,1329.0071379308733,1336.66758362567,1338.8074705069494,1344.5523047734139,1344.3286841440754,1343.4195743688224,1339.0605709452816,1337.8550465557703,1339.663423238435,1340.1097791232917,1342.6852053503367,1342.3318332964225,1348.8014108708205,1353.5672322707383,1362.2898898116077,1368.628427677463,1372.1960094099002,1371.326647361963,1368.1900984733713,1367.7854988112679,1368.2761720318001,1372.2046149091962,1374.9925900995477,1381.5140162026287,1386.5101201328016,1383.4394796644142,1376.6473518992968,1370.8625377726773,1375.373295046155,1380.5358249848725,1381.9614329909648,1384.4738627714303,1387.6269370371801,1389.4827854738987,1389.4250404553072,1385.7459968267244,1392.0325348004694,1404.6690683885793,1428.6456618878021,1456.4498177974256,1482.9783031859383,1505.9609589560844,1519.4051582614559,1527.8079293920644,1532.7341487201365,1537.6585970479728,1544.7174483099416,1553.5579768214748,1563.451842677493,1576.0095174948526,1589.315755628798,1605.4872027753004,1617.0812959979603,1623.9396292608553,1621.159091673488,1617.3937621380792,1612.5661222670524,1610.7904666402358,1614.3135986204961,1621.4051095006594,1631.83999121273,1638.2216954690857,1648.0760813574755,1657.26707959228,1665.7004582200416,1667.8497209862435,1665.7331582137833,1660.6883510575603,1655.6087027870917,1654.1424801553444,1655.713070019096,1659.785734575442,1664.1450377178244
395209,6,"Washington, DC",msa,VA,1705.971545107584,1712.3888765528577,1724.0478055488297,1732.2822421955743,1741.916927106863,1748.667299475047,1752.436704405331,1749.9264775098611,1749.191332227958,1745.28577369577,1744.8054259963892,1740.4593074702584,1742.5880814495074,1746.7532711457268,1753.6761546965924,1762.411389454861,1772.5960070632439,1780.9977543105445,1784.2435394786125,1783.396211283849,1779.6740797714378,1769.992074284848,1763.8014525316976,1758.1773685464188,1766.4795883051686,1778.8987333851596,1794.5390993582507,1805.5697964072049,1811.3545893771316,1818.2085151560466,1821.2612040792992,1820.5837498646474,1818.4495431759558,1813.2327833056195,1808.2547321043382,1804.5530115214638,1808.6899018203133,1815.2148148770723,1827.344513551663,1838.7443140331106,1849.8241603209626,1858.1499123633084,1863.3002774052622,1866.676003045592,1862.2491214409324,1858.6626107424813,1859.6597535277929,1863.6861425637887,1868.8955104133881,1875.2115644400071,1884.9962560323218,1895.6002919657217,1905.8398560969679,1915.0189966310907,1920.5211934800013,1922.4001132516764,1921.910870431744,1916.2011103168604,1910.6674609080521,1911.7796728385113,1921.3004922204238,1929.8236124493262,1938.8402005113617,1936.8437326829367,1934.575249593043,1928.0207451333101,1926.6587902226076,1922.9765031826478,1912.4387724806518,1897.802535118004,1880.845656420876,1866.1741690780507,1862.2969245344318,1866.5317551454882,1877.0895980521757,1895.0479922278128,1923.0598884197896,1960.9596205842288,1997.649752153797,2028.1596402210323,2047.9099474399843,2057.771968851114,2058.519789309662,2059.1227613895576,2061.2937961455355,2073.107817769895,2090.9603632692792,2115.7755313673506,2141.7521575807828,2167.1588596578667,2191.143000308413,2201.904302957031,2202.415324183029,2187.090211250914,2170.803880751008,2157.686266819685,2155.6285497000363,2164.5536482996063,2180.53753300417,2198.7449948092253,2218.7280198652948,2237.0728570885435,2254.110773875122,2265.623312538249,2270.285501160698,2269.000940656627,2262.9526054240723,2255.992911994827,2257.546983690329,2272.199522258212,2295.0717862194447
394974,7,"Philadelphia, PA",msa,PA,1239.2927952256773,1245.7868864798895,1258.746875022237,1265.9595338235479,1272.7297521838254,1274.5290121353908,1276.7282522967998,1277.1022639903779,1276.8675764078423,1275.504844232566,1271.2562223135858,1266.5801871102638,1267.2089511444515,1276.767641314511,1288.408851414691,1300.0768494124106,1307.168690831582,1313.7693468062573,1313.9027321069386,1313.604755255666,1309.5517867213646,1304.3970549197616,1305.796472059134,1305.1483797921883,1312.7882000813438,1316.5787014709285,1329.1578246578238,1336.4964324677014,1342.6013885118227,1343.0629597100028,1343.9584262438157,1344.6094290428364,1344.7951769760139,1343.5310572740586,1342.1092553235812,1344.5281785303998,1348.0912488802787,1356.1218995346705,1366.638627546222,1376.6458149596783,1384.9476545503655,1388.832294665054,1389.977832897666,1388.9224439412535,1387.7148817812779,1389.2683070962753,1391.9425474395366,1391.4683703979701,1395.401055693439,1403.1341959664994,1416.9067292399404,1427.5182555705428,1434.0384913892904,1441.0505050295492,1444.718207820478,1445.1877653054987,1441.6442767147007,1441.479351516497,1442.5265484979782,1446.6190457289465,1449.3014871325886,1459.0949179848212,1468.5090539077944,1472.5865907062507,1471.821191177884,1472.392710918269,1477.4246839277066,1477.1738824612992,1477.1123201630453,1478.934369544012,1483.7960659855105,1486.0189407955343,1486.1799437145828,1490.7152332050846,1499.7065122581166,1517.379457852986,1537.650051163213,1558.4780908386333,1576.5628289068445,1594.1174270386837,1608.1653482625427,1619.3125464743207,1628.0180553535322,1640.4156984340098,1651.40152816615,1663.6079141736561,1672.2850518441683,1685.300244940471,1698.7257066852037,1713.7023998577179,1726.122525859047,1732.7594644532062,1737.051222291225,1733.4886760427441,1732.0282692333997,1727.5065575954618,1730.698098015309,1731.7680024177773,1740.0322454938753,1747.5950362784733,1759.2123180160356,1764.2653482822961,1772.8286442753017,1781.5284316706118,1794.5026225526503,1801.1068901627043,1801.7785597211457,1795.8082708715413,1795.300629831166,1801.7012346242434,1811.753287977249
394856,8,"Miami, FL",msa,FL,1514.4024249813015,1521.4408360375685,1527.0215413322744,1533.768638074909,1543.1536901337236,1552.7710589488267,1562.0487022700704,1569.541578491103,1580.7304090351395,1589.3989291278087,1597.7017383858454,1600.7084872802943,1604.7284470733339,1605.8031566789916,1608.4891141074843,1610.7209524722984,1612.6809593568773,1612.955866325032,1613.2918753214328,1616.4734203959345,1622.063996089532,1624.206056249219,1626.858079068109,1624.6184865185264,1629.2541697033396,1631.6001138479699,1639.313268075051,1641.2018540438387,1644.2694231979058,1648.0923091427642,1655.1281292104377,1662.1176088833565,1668.2083312357586,1673.8859780509783,1676.2444995867043,1677.8122723235272,1678.729430751424,1681.759400789154,1686.0069603165853,1690.5331949704519,1694.6849836335841,1699.962461575574,1706.5636335843103,1713.4505427373347,1718.9547876161598,1725.1834975909894,1731.9352941794778,1737.6368176355697,1737.7707496755495,1737.3658559520889,1737.5717549056246,1740.905111989499,1744.3078806062297,1749.3219483115433,1754.9325504364997,1760.7520010817489,1767.033658180898,1776.2349465377868,1786.2995040149383,1794.2942235282746,1796.8509511688808,1799.7835780804671,1799.4384193134874,1792.768320006433,1782.9332629440764,1781.496990767381,1787.2131217706144,1793.388467477487,1798.8803952491987,1813.361914507783,1833.1611228975712,1850.5188607705381,1866.738786922107,1888.9015154160925,1915.7535524790874,1947.9827939382283,1990.8997493599834,,,2185.7356173655885,2245.2213864123996,2293.7914415827854,2340.462442565461,2389.282165592143,2435.65248378785,2470.669796359828,2512.6417470107217,2551.1932651628945,2592.0248056380497,2615.3029185935557,2636.9773497961714,2645.0172176238593,2652.810825687056,2658.9606364337887,2667.64575451616,2672.2719297148496,2669.6711361915877,2669.8935559083316,2674.22584571862,2682.368775020174,2693.3793206137802,2703.9746632955553,2714.403234401171,2720.6051204103965,2727.4292816505363,2737.7124855428287,2743.7432903834297,2737.8021614505574,2734.471252705423,2738.0292155915813,2748.1186255268763
394347,9,"Atlanta, GA",msa,GA,1060.9209574616593,1066.415910291739,1070.1972828383236,1081.255552741531,1088.913835732044,1099.9807041622284,1106.706700335146,1110.9937910217448,1112.346765107358,1111.498792873711,1112.2295737488778,1115.6207634625391,1120.5295842091123,1127.8796881532867,1136.0572567522293,1145.0928405865948,1154.0799302584458,1162.1396979070037,1169.6252166462243,1173.7009398520693,1174.9004780380615,1173.706324659124,1173.1090943295312,1174.9458987232422,1180.64199673175,1190.6883501367447,1202.7539099639632,1214.8194944266154,1226.6228838199138,1236.9807356373,1245.9725206470712,1250.060186411488,1251.8698962746148,1249.6517550613512,1250.3603277501072,1252.6418722697554,1259.5686127687939,1268.482314527989,1279.7792813275955,1292.0344152446094,1304.0491263213723,1313.121108010013,1318.7738878390219,1321.060033066574,1322.0655780235447,1327.852984139273,1332.9989034601049,1337.7917684683187,1342.6161568997302,1350.825223825923,1363.7796294360073,1375.7182464782613,1386.3182828525166,1395.0029148643612,1400.103146738551,1404.8079168763811,1407.5662467886552,1407.4012127991057,1405.041314569413,1404.5599815134397,1408.7170055915578,1417.3277187495048,1425.8003926852296,1429.788535270269,1433.559374862422,1440.5615993146891,1455.1404224997084,1468.7557397218989,1479.7822132413014,1488.1190673833974,1495.3320992995154,1502.4298377375228,1513.478446901802,1529.5689003447544,1549.3721451769086,1573.8862731508914,1604.787439762057,1646.6993639954571,1689.7549689457528,1734.38442490435,1763.8615813426854,1785.1849634407583,1792.2042788241342,1797.3526602817467,1801.9686388660284,1809.9779836243877,1823.563404335545,1838.5539431849731,1860.0491271577937,1883.4333617563134,1908.128591224156,1919.5775484860933,1922.9949236351038,1914.7322916098083,1905.5825079468307,1898.9491525838455,1896.8551657515563,1901.3186770199422,1909.5771433268478,1919.510858456269,1927.3385092300578,1929.1724674309914,1932.3345116641292,1933.943874488125,1934.6581219311863,1926.6155829865884,1913.5919019181472,1903.605039151476,1905.787549482654,1913.991706675364,1919.1852151724595
